Condition_no,Category,Document,Hints
19,Specific,The project proponent shall provide for adequate fire safety measures and equipments as required by Haryana Fire Service Act. 2009 and instructions issued by the local Authority/Directorate of fire from time to time. Further the project proponent shall take necessary permission regarding fire safety scheme/NOC from competent Authority as required.,XYZ
20,Specific,The Project Proponent shall obtain assurance from the DHVBN for supply of 6160 KVA of power supply before the start of construction. In no case project will be operational solely on generators without any power supply from any external power utility.,
21,Specific,Detail calculation of power load and ultimate power load of the project shall be submitted to DHBVN under intimation to SEIAA Haryana before the start of construction. Provisions shall be made for electrical infrastructure in the project area.,
22,Specific,The Project Proponent shall not raise any construction in the natural land depression I Nallah/water course and shall ensure that the natural flow from the Nallah/water course is not obstructed.,
23,Specific,The Project Proponent shall keep the plinth level of the building blocks sufficiently above the level of the approach road to the Project. Levels of the other areas in the Projects shall also be kepi suitably so as to avoid flooding.,
24,Specific,Construction shall be carried out so that density of population does not exceed norms approved by Director General Town and Country Department Haryana.,
25,Specific,The Project Proponent shall submit an affidavit with the declaration that ground water will not be used for construction and only treated water should be used for construction.,
26,Specific,The project proponent shall not cut any existing tree and project landscaping plan should be modified to include those trees in green area.,
27,Specific,"The project proponent shall provide 3 meter high barricade around the project area, dust screen for every floor above the ground, proper sprinkling and covering of stored material to restrict dust and air pollution during construction.",
28,Specific,The project proponent shall construct a sedimentation basin in the lower level of the project site to trap pollutant and other wastes during rains.,
29,Specific,The project proponent shall provide proper rasta of proper width and proper strength for the project before the start of construction.,
30,Specific,The project proponent shall ensure that the U value of the glass is less than 3.177 and maximum solar heat gain co-efficient is 0.25 for vertical fenestration.,
31,Specific,"The project proponent shall adequately control construction dusts like silica dust, non-silica dust and wood dust. Such dusts shall not spread outside project premises. Project Proponent shall provide respiratory protective equipment to all construction workers.",
32,Specific,"The project proponent shall develop complete civic infrastructure of the Group Housing colony including internal roads. Green belt development, sewerage line, Rain Water recharge arrangements, Storm water drainage system, Solid waste management site and provision for treatment of bio-degradable waste, STP, water supply line, dual plumbing line, electric supply lines etc. and shall offer  possession of the units/flats thereafter.",
33,Specific,"The project proponent shall provide one refuge area till 24 meter and one till 39 meter each, as per National Building Code. The project proponent shall not convert any refuse area in the habitable space and it should not be sold out/commercialized.",
34,Specific,The project proponent shall provide fire control room and fire officer for building above 30 meter as per National Building Code.,
35,Specific,The project proponent shall obtain permission of Mines and Geology Department for excavation of soil before the start of construction.,
36,Specific,The project proponent shall seek specific prior approval from concerned local Authority/HUDA regarding provision of storm drainage and sewerage system including their integration with external services of HUDA/ Local authorities beside other required services before taking up any construction activity.,
37,Specific,The project proponent shall submit the copy of fire safety plan duly approved by Fire Department before the start of construction.,
38,Specific,The project proponent shall discharge excess of treated waste water/storm water in the public drainage system and shall seek permission of HUDA before the start of construction.,
39,Specific,The project proponent shall maintain the distance between STP and water supply line.,
40,Specific,The project proponent shall ensure that the stack height is 6 meter more than the highest tower.,
41,Specific,The project proponent shall ensure that structural stability to withstand earthquake of magnitude 8.5 on Richter scale.,
